Class ID,Class Name,Creation Date,Instructor ID,Learner IDs
144393ea-cae8-4dda-8a8b-0ebf723e42a3,DO Team,6/30/2022 4:06:06 PM,e6274f4c-f6d1-4b94-9e1f-1d4fcf65470d,73a5f66e-ca98-419f-9652-a2ed4ede7d75 62294432-af43-49d6-a4b6-829982c29aac ,
e15a422d-26df-4bb1-8ca3-d875827776f2,DnD Team,6/30/2022 4:06:15 PM,e6274f4c-f6d1-4b94-9e1f-1d4fcf65470d,3ac64fa3-dc95-4216-814a-163b8e1952c6 73a5f66e-ca98-419f-9652-a2ed4ede7d75 ,
